item_id,name,category,price,old_price,sellable_online,link,other_colors,short_description,designer,depth,height,width
59299381,BESTÅ,TV & media furniture,2370.0,No old price,True,https://www.ikea.com/sa/en/p/besta-tv-storage-combination-glass-doors-black-brown-hanviken-black-brown-clear-glass-s59299381/,Yes,"        TV storage combination/glass doors,          300x42x193 cm",Marcus Arvonen/IKEA of Sweden,42.0,193.0,300.0
80308393,RÅSKOG,Chairs,84.0,SR 105,True,https://www.ikea.com/sa/en/p/raskog-stool-beige-80308393/,No,        Stool,Nike Karlsson,44.0,45.0,44.0
80433486,GODISHUS,Nursery furniture,295.0,No old price,True,https://www.ikea.com/sa/en/p/godishus-chest-of-3-drawers-white-80433486/,No,"        Chest of 3 drawers,          60x64 cm","804.334.86 Perfect height for small children. They can easily reach and find things on their own.With the included colourful stickers, you can quickly label the drawers in your own personal way.You can also write with chalk on the sticker to keep track of where you have your things.WARNING! TIPPING HAZARD – Unanchored furniture can tip over. This furniture shall be anchored to the wall with the enclosed safety fitting to prevent it from tipping over.Different wall materials require different types of fixing devices. Use fixing devices suitable for the walls in your home, sold separately.",40.0,64.0,60.0
79315945,STOCKSUND,Sofas & armchairs,995.0,No old price,True,https://www.ikea.com/sa/en/p/stocksund-bench-ljungen-medium-grey-light-brown-wood-s79315945/,Yes,        Bench,Nike Karlsson,49.0,47.0,144.0
79244665,POÄNG,Sofas & armchairs,195.0,No old price,True,https://www.ikea.com/sa/en/p/poaeng-footstool-birch-veneer-knisa-orange-red-orange-s79244665/,Yes,        Footstool,IKEA of Sweden/Noboru Nakamura,54.0,39.0,68.0
29278144,GRÖNLID,Sofas & armchairs,4270.0,No old price,True,https://www.ikea.com/sa/en/p/groenlid-3-seat-sofa-bed-with-open-end-ljungen-dark-red-s29278144/,Yes,        3-seat sofa-bed,Francis Cayouette/IKEA of Sweden/Ehlén Johansson,98.0,104.0,231.0
30360977,IDÅSEN,Cabinets & cupboards,995.0,No old price,True,https://www.ikea.com/sa/en/p/idasen-high-cabinet-with-drawer-and-doors-blue-30360977/,Yes,"        High cabinet with drawer and doors,          45x172 cm",Jon Karlsson,47.0,172.0,45.0
80372464,BEKANT,Tables & desks,49.0,No old price,True,https://www.ikea.com/sa/en/p/bekant-leg-white-80372464/,Yes,        Leg,Eva Lilja Löwenhielm,,12.0,
10460888,SMÅGÖRA,Wardrobes,495.0,No old price,True,https://www.ikea.com/sa/en/p/smagoera-wardrobe-white-10460888/,No,"        Wardrobe,          80x50x187 cm",IKEA of Sweden,50.0,187.0,80.0
99239489,NORDLI,Chests of drawers & drawer units,1880.0,"SR 2,350",True,https://www.ikea.com/sa/en/p/nordli-chest-of-12-drawers-white-s99239489/,No,"        Chest of 12 drawers,          120x145 cm",Ola Wihlborg,47.0,145.0,120.0
19282085,BEKANT,Tables & desks,2950.0,No old price,True,https://www.ikea.com/sa/en/p/bekant-desk-sit-stand-white-stained-oak-veneer-white-s19282085/,Yes,"        Desk sit/stand,          160x80 cm",K Malmvall/E Lilja Löwenhielm,,,80.0
347888,EDVALLA,Bookcases & shelving units,25.0,No old price,True,https://www.ikea.com/sa/en/p/edvalla-drop-handle-black-00347888/,No,"        Drop handle,          18 mm",Francis Cayouette,11.0,,33.0
69276256,MÖCKELBY / HENRIKSDAL,Tables & desks,4265.0,No old price,True,https://www.ikea.com/sa/en/p/moeckelby-henriksdal-table-and-6-chairs-white-blekinge-white-s69276256/,No,"        Table and 6 chairs,          235x100 cm",Marcus Arvonen/IKEA of Sweden,,74.0,100.0
80417636,YNGVAR,Café furniture,395.0,No old price,True,https://www.ikea.com/sa/en/p/yngvar-chair-anthracite-80417636/,No,        Chair,IKEA of Sweden,51.0,71.0,53.0
89227731,SLÄKT,Beds,995.0,No old price,True,https://www.ikea.com/sa/en/p/slaekt-bed-frame-with-underbed-and-storage-white-s89227731/,No,"        Bed frame with underbed and storage,          90x200 cm",Ebba Strandmark/IKEA of Sweden,57.0,,96.0
79228590,TROFAST,Nursery furniture,200.0,No old price,True,https://www.ikea.com/sa/en/p/trofast-storage-combination-white-green-white-s79228590/,Yes,"        Storage combination,          46x30x94 cm",Studio Copenhagen,30.0,94.0,46.0
79217902,SANDBACKEN,Sofas & armchairs,1841.0,"SR 1,950",True,https://www.ikea.com/sa/en/p/sandbacken-corner-sofa-bed-lofallet-beige-s79217902/,Yes,        Corner sofa-bed,David Wahl/Lisa Hilland/IKEA of Sweden,,69.0,212.0
80153800,TROFAST,Nursery furniture,275.0,No old price,True,https://www.ikea.com/sa/en/p/trofast-frame-white-80153800/,No,"        Frame,          99x44x56 cm",Studio Copenhagen,44.0,56.0,99.0
60340389,BURVIK,Tables & desks,129.0,No old price,True,https://www.ikea.com/sa/en/p/burvik-side-table-white-60340389/,Yes,"        Side table,          38 cm",Mikael Axelsson,,78.0,
49221439,EKEDALEN / HENRIKSDAL,Chairs,2765.0,No old price,True,https://www.ikea.com/sa/en/p/ekedalen-henriksdal-table-and-6-chairs-brown-orrsta-light-grey-s49221439/,No,"        Table and 6 chairs,          180/240 cm",Ehlén Johansson/IKEA of Sweden,,,
40347886,EDVALLA,TV & media furniture,25.0,No old price,True,https://www.ikea.com/sa/en/p/edvalla-drop-handle-brass-colour-40347886/,No,"        Drop handle,          18 mm",Francis Cayouette,11.0,,33.0
60365167,MAMMUT,Children's furniture,129.0,No old price,True,https://www.ikea.com/sa/en/p/mammut-childrens-table-in-outdoor-red-60365167/,No,"        Children's table,          77x55 cm",M Kjelstrup/A Östgaard,,48.0,55.0
80419070,FUSION,Chairs,1196.0,"SR 1,495",True,https://www.ikea.com/sa/en/p/fusion-table-and-4-chairs-black-brown-chrome-plated-80419070/,No,        Table and 4 chairs,"804.190.70 The shape of the chair backs are adapted to fit the corners of the table, so you save space when the chairs are pushed up against the table.Table (length 84 cm, width 84 cm, height 75 cm). Chair (width 61 cm, depth 53 cm, height 76 cm, seat height 46 cm, seat width 55 cm, seat depth 39 cm).",,,
19022808,BEKANT,Tables & desks,1120.0,"SR 1,400",True,https://www.ikea.com/sa/en/p/bekant-desk-white-s19022808/,Yes,"        Desk,          160x80 cm",K Malmvall/E Lilja Löwenhielm,80.0,,
29278262,KALLAX,Bookcases & shelving units,745.0,No old price,True,https://www.ikea.com/sa/en/p/kallax-shelving-unit-with-6-inserts-white-s29278262/,Yes,"        Shelving unit with 6 inserts,          112x147 cm",Tord Björklund,39.0,147.0,112.0
9213931,KLIMPEN,Tables & desks,1590.0,No old price,True,https://www.ikea.com/sa/en/p/klimpen-table-grey-light-grey-s09213931/,No,"        Table,          150x75 cm",Tina Christensen,,73.0,75.0
334536,EKET,Bookcases & shelving units,235.0,No old price,True,https://www.ikea.com/sa/en/p/eket-cabinet-with-4-compartments-dark-grey-00334536/,Yes,"        Cabinet with 4 compartments,          70x35x70 cm",Jon Karlsson,35.0,70.0,70.0
20307037,GULLIVER,Tables & desks,795.0,No old price,True,https://www.ikea.com/sa/en/p/gulliver-changing-table-white-20307037/,No,        Changing table,IKEA of Sweden,54.0,93.0,82.0
40033763,IVAR,Cabinets & cupboards,295.0,No old price,True,https://www.ikea.com/sa/en/p/ivar-cabinet-pine-40033763/,No,"        Cabinet,          80x30x83 cm",IKEA of Sweden,30.0,83.0,80.0
49046068,SUNDVIK,Beds,849.0,No old price,True,https://www.ikea.com/sa/en/p/sundvik-ext-bed-frame-with-slatted-bed-base-white-s49046068/,No,"        Ext bed frame with slatted bed base,          80x200 cm",IKEA of Sweden,,80.0,
39221190,TINGBY / LEIFARNE,Chairs,2165.0,No old price,True,https://www.ikea.com/sa/en/p/tingby-leifarne-table-and-6-chairs-white-white-s39221190/,No,"        Table and 6 chairs,          180 cm",Mia Lagerman/Mikael Warnhammar,,,
30263844,BILLY,Bookcases & shelving units,115.0,No old price,True,https://www.ikea.com/sa/en/p/billy-bookcase-white-30263844/,Yes,"        Bookcase,          80x28x106 cm",Gillis Lundgren,28.0,106.0,80.0
286677,HEJNE,Bookcases & shelving units,35.0,No old price,True,https://www.ikea.com/sa/en/p/hejne-post-softwood-00286677/,No,"        Post,          171 cm 2 pack",IKEA of Sweden,,171.0,
90226797,UPPLEVA,Cabinets & cupboards,145.0,No old price,True,https://www.ikea.com/sa/en/p/uppleva-wall-bracket-for-tv-fixed-90226797/,No,"        Wall bracket for TV, fixed,          37-55 """,IKEA of Sweden,,,
79254659,GRÖNLID,Sofas & armchairs,200.0,No old price,True,https://www.ikea.com/sa/en/p/groenlid-armrest-inseros-white-s79254659/,Yes,        Armrest,Francis Cayouette,93.0,68.0,18.0
40419958,JONAXEL,Bookcases & shelving units,70.0,No old price,True,https://www.ikea.com/sa/en/p/jonaxel-frame-white-40419958/,Yes,"        Frame,          50x51x70 cm",IKEA of Sweden,51.0,70.0,50.0
